customer_id,customer_name,date_of_birth,address,country,nationality,customer_type,account_created_date,account_age_days,risk_rating
CUST_1,Matthew Williams,1978-10-17,"14365 Donald Valleys Apt. 161, Schmittstad, LA 72617",India,Canada,Business,2020-09-24,2137,HIGH
CUST_2,Philip Figueroa,1951-05-05,"026 Edwards Camp, Mistyville, CO 13741",Australia,Canada,Business,2020-10-17,2114,LOW
CUST_3,Melissa Miller,2007-06-14,"PSC 7457, Box 7946, APO AE 78006",Brazil,India,Business,2019-12-20,2416,HIGH
CUST_4,Nicholas Baldwin,1974-11-02,"58105 Proctor Knolls, Davisfort, MA 56572",India,UK,Individual,2025-09-21,314,MEDIUM
CUST_5,Rebecca Carter,1979-05-03,"02504 Rodriguez Park, Houstonview, SD 49396",UK,Germany,Business,2019-02-10,2729,LOW
CUST_6,Shelby Arnold,1953-02-28,"28382 Franco Flats Suite 288, Simmonsside, PR 14876",UAE,Singapore,Individual,2018-11-26,2805,HIGH
CUST_7,Dennis Stewart,2000-03-06,"USNV Walters, FPO AA 42342",France,UAE,Business,2026-04-18,105,LOW
CUST_8,Vernon Wilson,1948-06-03,"763 Anthony Inlet, North Paulhaven, ME 59919",Canada,Brazil,Individual,2020-02-06,2368,MEDIUM
CUST_9,Gary Brandt,1968-05-25,"22681 Tracy Orchard Suite 332, Justinhaven, CO 16199",Canada,Australia,Individual,2016-08-02,3651,LOW
CUST_10,Jesse Lawson,1955-09-17,"168 Alvarez Spurs Apt. 405, Port Andrewport, GU 47983",UK,Canada,Individual,2022-12-11,1329,HIGH
CUST_11,Michael Kramer,1991-04-20,"PSC 2095, Box 7529, APO AP 41252",Brazil,India,Individual,2017-12-04,3162,MEDIUM
CUST_12,Scott Caldwell,1988-02-22,"0009 Adams Groves, New Ellen, RI 30304",UK,Brazil,Individual,2021-06-22,1866,LOW
CUST_13,Edward Stuart,1991-08-16,"USCGC Morrow, FPO AP 21394",UAE,Germany,Business,2022-03-05,1610,HIGH
CUST_14,William Hill,1996-09-20,"51515 Christina Mountain, New Glennview, WA 92683",France,France,Business,2024-12-30,579,LOW
CUST_15,Erika Pineda,1947-05-22,"Unit 1807 Box 6016, DPO AA 41507",India,France,Business,2020-11-12,2088,LOW
CUST_16,Gabriel Potter III,1964-07-19,"813 Diane Plain Suite 900, North Tina, FM 88614",India,UK,Individual,2022-09-29,1402,MEDIUM
CUST_17,Jennifer Hammond,1947-04-20,"11610 Hayes Park, Port Markborough, MI 80442",UAE,France,Individual,2021-03-04,1976,HIGH
CUST_18,Daniel Acosta,1982-07-04,"065 Roberts Estates, Meghanview, CO 48277",Australia,Brazil,Business,2017-04-28,3382,LOW
CUST_19,Vanessa Taylor,2002-09-24,"897 Nichole Square Suite 527, Dillonville, AL 96439",UAE,Canada,Individual,2026-03-12,142,MEDIUM
CUST_20,Mary Kelly,1989-04-12,"5583 Davis Spring, East Jason, KS 99700",Brazil,UK,Business,2022-11-03,1367,LOW
CUST_21,Nicholas Baird,2004-07-01,"520 Craig Locks Apt. 310, Leshire, RI 91011",India,USA,Individual,2025-03-01,518,LOW
CUST_22,Judith Ryan,1987-12-27,"885 Taylor Canyon Apt. 084, New Diamond, NJ 81195",UAE,Australia,Business,2020-12-30,2040,HIGH
CUST_23,Patrick Cooper,1964-04-08,"499 Arias Circles, Lisaland, MN 10109",France,UK,Individual,2021-02-22,1986,HIGH
CUST_24,Jeffrey Leach,1971-01-24,"81463 Carter Centers Suite 127, Hayesland, MI 84043",France,Germany,Business,2025-09-09,326,LOW
CUST_25,Sarah Chan,2001-11-11,"184 Stanley Drive Apt. 402, Lynnton, HI 10639",USA,Singapore,Individual,2020-01-28,2377,LOW
CUST_26,Joan Hoover,1981-11-06,"PSC 8429, Box 7187, APO AA 89297",UK,India,Business,2017-08-08,3280,LOW
CUST_27,Lisa Hanna,1985-03-03,"3387 Michele Valley, New Danielmouth, MD 49806",India,Singapore,Individual,2023-02-23,1255,LOW
CUST_28,Nicholas Flynn,1986-04-12,"052 Maria Well Suite 727, Victoriaview, MH 25076",India,Brazil,Business,2022-04-04,1580,MEDIUM
CUST_29,Anthony Porter,1976-09-07,"0237 Robert Street Suite 582, Ritaburgh, DE 82060",Singapore,India,Business,2021-09-16,1780,LOW
CUST_30,Jermaine Obrien,1982-05-30,"6400 Goodman Prairie, East Davidville, MO 42035",Canada,Germany,Individual,2024-01-15,929,LOW
CUST_31,Robert Dean,2001-02-11,"621 Schultz Gateway, Lake Amandashire, SD 82774",Singapore,France,Individual,2021-06-22,1866,HIGH
CUST_32,Scott Brown,1964-07-08,"6199 Bradley Forge Suite 436, Thompsonburgh, PA 90145",UAE,Brazil,Individual,2019-11-15,2451,MEDIUM
CUST_33,Joanne Thomas,1989-07-11,"90715 Melissa Point, Hortonstad, TX 98438",Canada,India,Individual,2025-03-18,501,HIGH
CUST_34,Tonya Myers,1969-08-28,"689 Katherine Garden Apt. 672, East Davidview, CT 17639",Canada,France,Business,2024-12-14,595,MEDIUM
CUST_35,James Bailey,1961-02-07,"21111 Keith Ford Apt. 323, New John, WI 15600",Australia,Singapore,Individual,2024-01-24,920,HIGH
CUST_36,David Miller,1946-05-29,"1463 Kimberly Centers, Thomasmouth, NC 83645",Australia,India,Business,2022-10-18,1383,LOW
CUST_37,Adrian Owens,1997-12-11,"49117 Robert Summit Suite 853, New Angela, AR 61984",Australia,USA,Individual,2021-02-16,1992,LOW
CUST_38,Christina Evans,2002-04-28,"748 Nathaniel Circles Suite 918, East Joannaport, AK 40480",UAE,Brazil,Business,2025-09-13,322,LOW
CUST_39,William Kim,1972-09-05,"791 Ramirez Loaf Apt. 684, Jennifermouth, DC 77684",USA,UAE,Business,2020-12-11,2059,HIGH
CUST_40,John Pierce,1956-10-22,"77449 Coffey Manors, North Allison, PA 87004",Australia,Australia,Business,2024-12-20,589,LOW
CUST_41,Anthony Hughes,1991-02-11,"5099 Castro Bypass, Lake Maria, IN 45256",USA,UK,Individual,2022-07-22,1471,HIGH
CUST_42,Kristen Simmons,2000-10-28,"756 Donna Knoll Apt. 467, Port Markfort, RI 58829",Canada,India,Individual,2021-02-10,1998,MEDIUM
CUST_43,Corey Taylor,1995-12-27,"8453 Smith Crossing, Port Jenniferborough, DE 46409",USA,France,Business,2024-09-13,687,LOW
CUST_44,Emily Pruitt,1989-07-25,"7158 Jacqueline Spur Suite 143, South Ashley, MA 57412",India,India,Individual,2022-12-19,1321,LOW
CUST_45,Juan Barnes,1976-09-06,"240 Robert Brooks Apt. 245, East Jeffreyborough, DE 01934",Canada,Canada,Business,2019-09-01,2526,HIGH
CUST_46,Todd Nunez,1999-12-31,"511 Whitney Via Apt. 206, Port Jorgetown, WV 43144",USA,India,Business,2021-11-25,1710,LOW
CUST_47,Ashley Price,1955-08-13,"4905 Cindy Circles, South Brian, AZ 80132",Canada,Australia,Business,2022-05-17,1537,LOW
CUST_48,Amanda Harrison,1982-03-27,"84728 Destiny Via Suite 124, Lake Marthafurt, ND 61282",USA,Canada,Individual,2026-04-02,121,HIGH
CUST_49,Sarah Hall,1966-03-18,"2094 Taylor Alley, Anthonyborough, CO 28285",USA,Singapore,Individual,2020-11-24,2076,MEDIUM
CUST_50,Belinda Maldonado,1969-05-01,"Unit 0444 Box 3979, DPO AA 53050",UAE,Australia,Business,2021-10-19,1747,MEDIUM
CUST_51,Stephen Chang,1957-10-24,"6796 Donaldson Hollow, South Tammy, UT 52691",India,USA,Business,2021-01-14,2025,LOW
CUST_52,Amanda Holder DVM,1967-12-29,"37729 Walsh Ferry, Melissabury, DC 81514",Singapore,Germany,Business,2018-12-16,2785,LOW
CUST_53,Matthew Ingram,1993-01-05,"9607 Frazier Valley Apt. 879, Brownville, MN 49773",UAE,UK,Business,2020-07-27,2196,LOW
CUST_54,Carl Kennedy,1995-01-29,"54959 Katherine Mountains, Lake Lindsayborough, WI 65709",UAE,Singapore,Business,2019-04-12,2668,MEDIUM
CUST_55,Ellen Rocha,1999-03-25,"7492 Wolf Port Suite 780, New Adamport, CA 23913",UAE,UAE,Individual,2019-06-21,2598,MEDIUM
CUST_56,Kirk Henderson,1948-04-11,"471 Lloyd Forks Suite 930, Stephaniechester, MH 97901",Australia,Canada,Business,2021-03-26,1954,HIGH
CUST_57,Aaron Torres,1969-10-01,"037 Eduardo Streets, Lake Peterport, LA 11062",USA,France,Business,2019-07-03,2586,MEDIUM
CUST_58,Miss Norma Walsh,1947-04-04,"7435 Alex Isle, Davidmouth, TX 29959",Germany,Brazil,Individual,2020-01-17,2388,LOW
CUST_59,Eugene Lutz,1949-09-13,"3153 Jose Rest Apt. 149, Matthewberg, PA 40128",Germany,Singapore,Business,2017-06-17,3332,MEDIUM
CUST_60,Joel Roth,2002-06-13,"56408 Joseph Tunnel Apt. 294, North Sarahmouth, OK 39792",Singapore,Singapore,Business,2019-04-17,2663,LOW
CUST_61,Leslie Klein,1956-02-27,"PSC 0893, Box 7326, APO AE 55264",Canada,Australia,Individual,2021-06-03,1885,MEDIUM
CUST_62,Scott Gillespie,1980-04-18,"2194 Morton Flat Apt. 543, North Philip, MP 09455",Singapore,Brazil,Business,2017-02-19,3450,HIGH
CUST_63,Martha Bryan,1973-07-16,"8781 Olson Parks Suite 691, Oliviabury, MA 49718",Canada,Australia,Individual,2019-11-22,2444,MEDIUM
CUST_64,Russell Shields,2007-04-15,"88450 Sanchez Causeway, Lake Kelli, SD 57841",Brazil,UK,Individual,2023-08-15,1082,HIGH
CUST_65,Robert Gonzalez,1985-04-29,"0455 Boyd Wells, West Michelleside, WV 09451",France,France,Business,2024-01-18,926,MEDIUM
CUST_66,Hannah Baker,1953-04-07,"7714 Chelsea Cliff Apt. 624, Danielstad, PA 97902",USA,Australia,Business,2021-07-31,1827,HIGH
CUST_67,Megan Swanson,1955-12-03,"732 Stewart Cliffs Suite 878, North Brandyside, NJ 69514",Canada,UK,Business,2024-12-29,580,LOW
CUST_68,Carrie Reed,1957-07-02,"4805 Steven Forest Suite 183, West Todd, OH 75647",Australia,India,Business,2020-01-15,2390,HIGH
CUST_69,Lori Cooper,1987-09-11,"79695 Heather Island, Scottview, NM 75884",UAE,Australia,Business,2022-05-23,1531,MEDIUM
CUST_70,Ashley Martinez,1946-07-06,"31699 Shelia Pines, Port Laurahaven, OR 47602",Canada,France,Individual,2022-04-07,1577,MEDIUM
CUST_71,Wendy Cole,1981-07-03,"7922 Stanley Unions Apt. 075, New Colton, ME 49079",Brazil,UAE,Business,2017-01-27,3473,HIGH
CUST_72,Roger Quinn,1978-08-18,"09877 Ian Green Apt. 198, Ryanland, IL 95969",France,USA,Business,2020-12-07,2063,LOW
CUST_73,Brandon Saunders,1998-09-29,"3855 Johnson Via, Davishaven, MI 53227",Canada,India,Business,2016-08-07,3646,MEDIUM
CUST_74,Heather Perry,1948-08-09,"390 Eric Square, Averyport, TN 65949",USA,India,Individual,2017-10-01,3226,MEDIUM
CUST_75,Emily Perry,1957-04-24,"94540 Baldwin Grove Apt. 803, Patriciabury, IA 24301",Germany,Brazil,Business,2024-05-15,808,HIGH
CUST_76,Gary Cox,1973-02-14,"20758 Stephanie Courts, Kevinton, NY 90456",India,Canada,Individual,2024-09-07,693,HIGH
CUST_77,Michael Garcia,1970-02-04,"87836 Rachel Shoals Suite 388, North Laura, AL 81956",UAE,France,Business,2019-06-02,2617,LOW
