customer_id,customer_name,date_of_birth,address,country,nationality,customer_type,account_created_date,account_age_days,risk_rating,age,watchlist_match,total_transactions,total_amount,avg_transaction_amount,max_transaction_amount,international_transactions
CUST_1,Matthew Williams,1978-10-17,"14365 Donald Valleys Apt. 161, Schmittstad, LA 72617",India,Canada,Business,2020-09-24,2137,2,48,0,3.0,95263.29999999999,31754.43333333333,47752.67,3.0
CUST_2,Philip Figueroa,1951-05-05,"026 Edwards Camp, Mistyville, CO 13741",Australia,Canada,Business,2020-10-17,2114,0,75,0,6.0,166907.76,27817.960000000003,49376.12,6.0
CUST_3,Melissa Miller,2007-06-14,"PSC 7457, Box 7946, APO AE 78006",Brazil,India,Business,2019-12-20,2416,2,19,0,3.0,129611.6,43203.86666666667,48644.79,3.0
CUST_4,Nicholas Baldwin,1974-11-02,"58105 Proctor Knolls, Davisfort, MA 56572",India,UK,Individual,2025-09-21,314,1,52,0,4.0,104392.66,26098.165,38585.92,4.0
CUST_5,Rebecca Carter,1979-05-03,"02504 Rodriguez Park, Houstonview, SD 49396",UK,Germany,Business,2019-02-10,2729,0,47,0,6.0,165364.6,27560.766666666666,49890.1,5.0
CUST_6,Shelby Arnold,1953-02-28,"28382 Franco Flats Suite 288, Simmonsside, PR 14876",UAE,Singapore,Individual,2018-11-26,2805,2,73,0,8.0,1659206.96,207400.87,836780.0,8.0
CUST_7,Dennis Stewart,2000-03-06,"USNV Walters, FPO AA 42342",France,UAE,Business,2026-04-18,105,0,26,0,7.0,192517.8,27502.542857142857,43600.99,6.0
CUST_8,Vernon Wilson,1948-06-03,"763 Anthony Inlet, North Paulhaven, ME 59919",Canada,Brazil,Individual,2020-02-06,2368,1,78,0,7.0,191657.7,27379.67142857143,45606.66,5.0
CUST_9,Gary Brandt,1968-05-25,"22681 Tracy Orchard Suite 332, Justinhaven, CO 16199",Canada,Australia,Individual,2016-08-02,3651,0,58,0,1.0,20579.25,20579.25,20579.25,0.0
CUST_10,Jesse Lawson,1955-09-17,"168 Alvarez Spurs Apt. 405, Port Andrewport, GU 47983",UK,Canada,Individual,2022-12-11,1329,2,71,0,4.0,98929.72,24732.43,31871.39,4.0
CUST_11,Michael Kramer,1991-04-20,"PSC 2095, Box 7529, APO AP 41252",Brazil,India,Individual,2017-12-04,3162,1,35,0,4.0,122367.65,30591.9125,42794.86,3.0
CUST_12,Scott Caldwell,1988-02-22,"0009 Adams Groves, New Ellen, RI 30304",UK,Brazil,Individual,2021-06-22,1866,0,38,0,5.0,148276.22999999998,29655.245999999996,42864.81,5.0
CUST_13,Edward Stuart,1991-08-16,"USCGC Morrow, FPO AP 21394",UAE,Germany,Business,2022-03-05,1610,2,35,0,7.0,74274.33,10610.618571428571,38759.81,6.0
CUST_14,William Hill,1996-09-20,"51515 Christina Mountain, New Glennview, WA 92683",France,France,Business,2024-12-30,579,0,30,0,5.0,113313.31999999999,22662.663999999997,44223.9,4.0
CUST_15,Erika Pineda,1947-05-22,"Unit 1807 Box 6016, DPO AA 41507",India,France,Business,2020-11-12,2088,0,79,1,3.0,81483.98,27161.326666666664,39304.06,2.0
CUST_16,Gabriel Potter III,1964-07-19,"813 Diane Plain Suite 900, North Tina, FM 88614",India,UK,Individual,2022-09-29,1402,1,62,0,6.0,137442.05,22907.00833333333,44976.43,5.0
CUST_17,Jennifer Hammond,1947-04-20,"11610 Hayes Park, Port Markborough, MI 80442",UAE,France,Individual,2021-03-04,1976,2,79,0,2.0,27041.550000000003,13520.775000000001,24782.31,2.0
CUST_18,Daniel Acosta,1982-07-04,"065 Roberts Estates, Meghanview, CO 48277",Australia,Brazil,Business,2017-04-28,3382,0,44,0,7.0,198132.46,28304.63714285714,47070.61,5.0
CUST_19,Vanessa Taylor,2002-09-24,"897 Nichole Square Suite 527, Dillonville, AL 96439",UAE,Canada,Individual,2026-03-12,142,1,24,0,2.0,40107.09,20053.545,25889.82,1.0
CUST_20,Mary Kelly,1989-04-12,"5583 Davis Spring, East Jason, KS 99700",Brazil,UK,Business,2022-11-03,1367,0,37,0,3.0,56124.42,18708.14,41437.21,3.0
CUST_21,Nicholas Baird,2004-07-01,"520 Craig Locks Apt. 310, Leshire, RI 91011",India,USA,Individual,2025-03-01,518,0,22,0,6.0,148182.53,24697.088333333333,49658.7,6.0
CUST_22,Judith Ryan,1987-12-27,"885 Taylor Canyon Apt. 084, New Diamond, NJ 81195",UAE,Australia,Business,2020-12-30,2040,2,39,0,6.0,155965.19,25994.198333333334,48430.59,4.0
CUST_23,Patrick Cooper,1964-04-08,"499 Arias Circles, Lisaland, MN 10109",France,UK,Individual,2021-02-22,1986,2,62,0,6.0,214124.9,35687.48333333333,101455.0,5.0
CUST_24,Jeffrey Leach,1971-01-24,"81463 Carter Centers Suite 127, Hayesland, MI 84043",France,Germany,Business,2025-09-09,326,0,55,0,0.0,0.0,0.0,0.0,0.0
CUST_25,Sarah Chan,2001-11-11,"184 Stanley Drive Apt. 402, Lynnton, HI 10639",USA,Singapore,Individual,2020-01-28,2377,0,25,0,6.0,84732.87,14122.144999999999,43783.97,6.0
CUST_26,Joan Hoover,1981-11-06,"PSC 8429, Box 7187, APO AA 89297",UK,India,Business,2017-08-08,3280,0,45,0,6.0,160646.37,26774.395,44300.1,5.0
CUST_27,Lisa Hanna,1985-03-03,"3387 Michele Valley, New Danielmouth, MD 49806",India,Singapore,Individual,2023-02-23,1255,0,41,0,6.0,774541.12,129090.18666666666,689247.0,5.0
CUST_28,Nicholas Flynn,1986-04-12,"052 Maria Well Suite 727, Victoriaview, MH 25076",India,Brazil,Business,2022-04-04,1580,1,40,0,7.0,161013.62,23001.945714285714,39776.69,6.0
CUST_29,Anthony Porter,1976-09-07,"0237 Robert Street Suite 582, Ritaburgh, DE 82060",Singapore,India,Business,2021-09-16,1780,0,50,0,7.0,565488.11,80784.0157142857,331340.0,6.0
CUST_30,Jermaine Obrien,1982-05-30,"6400 Goodman Prairie, East Davidville, MO 42035",Canada,Germany,Individual,2024-01-15,929,0,44,0,8.0,277542.4,34692.8,48834.68,8.0
CUST_31,Robert Dean,2001-02-11,"621 Schultz Gateway, Lake Amandashire, SD 82774",Singapore,France,Individual,2021-06-22,1866,2,25,0,4.0,97310.70999999999,24327.677499999998,38987.43,4.0
CUST_32,Scott Brown,1964-07-08,"6199 Bradley Forge Suite 436, Thompsonburgh, PA 90145",UAE,Brazil,Individual,2019-11-15,2451,1,62,0,5.0,79736.39,15947.278,47139.28,5.0
CUST_33,Joanne Thomas,1989-07-11,"90715 Melissa Point, Hortonstad, TX 98438",Canada,India,Individual,2025-03-18,501,2,37,0,3.0,64284.21,21428.07,38092.76,3.0
CUST_34,Tonya Myers,1969-08-28,"689 Katherine Garden Apt. 672, East Davidview, CT 17639",Canada,France,Business,2024-12-14,595,1,57,0,9.0,1262483.02,140275.89111111112,625563.0,9.0
CUST_35,James Bailey,1961-02-07,"21111 Keith Ford Apt. 323, New John, WI 15600",Australia,Singapore,Individual,2024-01-24,920,2,65,0,4.0,128075.85999999999,32018.964999999997,38529.35,4.0
CUST_36,David Miller,1946-05-29,"1463 Kimberly Centers, Thomasmouth, NC 83645",Australia,India,Business,2022-10-18,1383,0,80,0,4.0,72248.54999999999,18062.137499999997,40978.46,4.0
CUST_37,Adrian Owens,1997-12-11,"49117 Robert Summit Suite 853, New Angela, AR 61984",Australia,USA,Individual,2021-02-16,1992,0,29,0,4.0,100902.49,25225.6225,42900.01,4.0
CUST_38,Christina Evans,2002-04-28,"748 Nathaniel Circles Suite 918, East Joannaport, AK 40480",UAE,Brazil,Business,2025-09-13,322,0,24,0,7.0,181684.37,25954.91,43526.53,7.0
CUST_39,William Kim,1972-09-05,"791 Ramirez Loaf Apt. 684, Jennifermouth, DC 77684",USA,UAE,Business,2020-12-11,2059,2,54,0,2.0,77209.92,38604.96,42602.58,2.0
CUST_40,John Pierce,1956-10-22,"77449 Coffey Manors, North Allison, PA 87004",Australia,Australia,Business,2024-12-20,589,0,70,0,5.0,141582.49,28316.498,48755.74,5.0
CUST_41,Anthony Hughes,1991-02-11,"5099 Castro Bypass, Lake Maria, IN 45256",USA,UK,Individual,2022-07-22,1471,2,35,0,5.0,121022.08,24204.416,46188.75,5.0
CUST_42,Kristen Simmons,2000-10-28,"756 Donna Knoll Apt. 467, Port Markfort, RI 58829",Canada,India,Individual,2021-02-10,1998,1,26,0,2.0,46458.96,23229.48,37934.99,1.0
CUST_43,Corey Taylor,1995-12-27,"8453 Smith Crossing, Port Jenniferborough, DE 46409",USA,France,Business,2024-09-13,687,0,31,0,4.0,968190.0900000001,242047.52250000002,902253.0,4.0
CUST_44,Emily Pruitt,1989-07-25,"7158 Jacqueline Spur Suite 143, South Ashley, MA 57412",India,India,Individual,2022-12-19,1321,0,37,0,6.0,155386.5,25897.75,46035.26,5.0
CUST_45,Juan Barnes,1976-09-06,"240 Robert Brooks Apt. 245, East Jeffreyborough, DE 01934",Canada,Canada,Business,2019-09-01,2526,2,50,0,6.0,144447.9,24074.649999999998,44239.45,5.0
CUST_46,Todd Nunez,1999-12-31,"511 Whitney Via Apt. 206, Port Jorgetown, WV 43144",USA,India,Business,2021-11-25,1710,0,27,1,5.0,151705.79,30341.158000000003,42796.49,5.0
CUST_47,Ashley Price,1955-08-13,"4905 Cindy Circles, South Brian, AZ 80132",Canada,Australia,Business,2022-05-17,1537,0,71,0,5.0,91940.6,18388.120000000003,47523.08,5.0
CUST_48,Amanda Harrison,1982-03-27,"84728 Destiny Via Suite 124, Lake Marthafurt, ND 61282",USA,Canada,Individual,2026-04-02,121,2,44,0,7.0,219368.21,31338.315714285713,46823.96,6.0
CUST_49,Sarah Hall,1966-03-18,"2094 Taylor Alley, Anthonyborough, CO 28285",USA,Singapore,Individual,2020-11-24,2076,1,60,0,2.0,45797.07,22898.535,26606.35,2.0
