watchlist_id,customer_id,customer_name,date_of_birth,country,nationality,list_type,risk_level,source
WATCH_2854,CUST_2854,John Harrison,1961-01-10,France,UK,SANCTIONS,HIGH,Internal Bank List
WATCH_8438,CUST_8438,Erika Henry,1946-02-12,UK,Australia,BLACKLIST,HIGH,Internal Bank List
WATCH_9163,CUST_9163,Jennifer Fry MD,1953-01-12,UK,Singapore,BLACKLIST,HIGH,Internal Bank List
WATCH_3559,CUST_3559,Dennis Rodriguez,1983-08-14,Singapore,UK,FRAUD_ALERT,HIGH,FATF
WATCH_6216,CUST_6216,Samantha Melton,1985-07-04,Canada,Australia,PEP,HIGH,Internal Bank List
WATCH_2205,CUST_2205,James Jackson,1946-10-19,Brazil,UAE,FRAUD_ALERT,HIGH,OFAC
WATCH_6882,CUST_6882,Cindy Aguirre,1995-08-10,UK,Germany,SANCTIONS,HIGH,FATF
WATCH_501,CUST_501,Donald Chung,1997-02-18,Singapore,USA,FRAUD_ALERT,HIGH,OFAC
WATCH_2252,CUST_2252,William Kelley,1972-01-17,USA,Brazil,SANCTIONS,HIGH,Internal Bank List
WATCH_8231,CUST_8231,Alexandra Smith,1995-01-17,UAE,UAE,SANCTIONS,HIGH,FATF
WATCH_3703,CUST_3703,Kylie Thomas,2002-01-02,USA,UAE,SANCTIONS,HIGH,OFAC
WATCH_151,CUST_151,Michael Stark,1965-11-11,USA,Canada,PEP,HIGH,FATF
WATCH_5380,CUST_5380,Christina Sims,1980-11-14,UK,Brazil,PEP,HIGH,OFAC
WATCH_3052,CUST_3052,Anthony Mcguire,1999-05-25,Singapore,Australia,FRAUD_ALERT,HIGH,OFAC
WATCH_743,CUST_743,Robert Patel,1953-06-17,India,Germany,BLACKLIST,HIGH,OFAC
WATCH_5621,CUST_5621,Jose Nielsen,2001-08-20,India,Brazil,SANCTIONS,HIGH,FATF
WATCH_771,CUST_771,Andrew Oconnor,1961-06-07,Germany,Singapore,PEP,HIGH,FATF
WATCH_4671,CUST_4671,Stephen Anderson,1992-03-13,UAE,Germany,FRAUD_ALERT,HIGH,Internal Bank List
WATCH_9210,CUST_9210,Dr. Gina Martinez,1958-04-23,Canada,Germany,PEP,HIGH,OFAC
